ENTREZID	SYMBOL
3576	CXCL8
3383	ICAM1
6364	CCL20
6289	SAA2
3624	INHBA
3854	KRT6B
6279	S100A8
7128	TNFAIP3
718	C3
2919	CXCL1
10318	TNIP1
6703	SPRR2D
56300	IL36G
6648	SOD2
6280	S100A9
4599	MX1
80149	ZC3H12A
6700	SPRR2A
51458	RHCG
3553	IL1B
9235	IL32
11254	SLC6A14
4318	MMP9
2537	IFI6
3569	IL6
3976	LIF
7127	TNFAIP2
4792	NFKBIA
1839	HBEGF
4939	OAS2
84419	C15orf48
4940	OAS3
5327	PLAT
2920	CXCL2
4938	OAS1
10379	IRF9
669	BPGM
6374	CXCL5
64332	NFKBIZ
1440	CSF3
6288	SAA1
6704	SPRR2E
50486	G0S2
330	BIRC3
3656	IRAK2
3866	KRT15
4791	NFKB2
1992	SERPINB1
10457	GPNMB
10158	PDZK1IP1
23764	MAFF
7498	XDH
1437	CSF2
2921	CXCL3
5359	PLSCR1
5266	PI3
597	BCL2A1
84790	TUBA1C
29842	TFCP2L1
3552	IL1A
10964	IFI44L
7051	TGM1
341208	HEPHL1
7052	TGM2
1476	CSTB
25878	MXRA5
57115	PGLYRP4
10410	IFITM3
1906	EDN1
7056	THBD
402778	IFITM10
8519	IFITM1
169611	OLFML2A
4094	MAF
4579	TRNY
12	SERPINA3
1942	EFNA1
5055	SERPINB2
1846	DUSP4
5328	PLAU
3851	KRT4
8876	VNN1
10561	IFI44
9635	CLCA2
3371	TNC
360	AQP3
247	ALOX15B
6590	SLPI
3678	ITGA5
55332	DRAM1
3713	IVL
6781	STC1
83666	PARP9
114897	C1QTNF1
1831	TSC22D3
7846	TUBA1A
1890	TYMP
101	ADAM8
9766	SUSD6
102724550	LINC02015
10451	VAV3
10381	TUBB3
79413	ZBED2
2706	GJB2
51129	ANGPTL4
3872	KRT17
64761	PARP12
4600	MX2
11098	PRSS23
6286	S100P
8942	KYNU
23034	SAMD4A
23052	ENDOD1
2224	FDPS
2113	ETS1
715	C1R
8740	TNFSF14
5275	SERPINB13
10938	EHD1
2289	FKBP5
94241	TP53INP1
5329	PLAUR
25840	METTL7A
27289	RND1
4790	NFKB1
58191	CXCL16
171177	RHOV
3690	ITGB3
9638	FEZ1
84189	SLITRK6
5155	PDGFB
3570	IL6R
51312	SLC25A37
3068	HDGF
5371	PML
23645	PPP1R15A
1594	CYP27B1
8061	FOSL1
147040	KCTD11
51200	CPA4
306	ANXA3
10383	TUBB4B
7476	WNT7A
6772	STAT1
26579	MYEOV
130367	SGPP2
4739	NEDD9
342897	NCCRP1
9645	MICAL2
445	ASS1
120	ADD3
54739	XAF1
3459	IFNGR1
1326	MAP3K8
94240	EPSTI1
6525	SMTN
220	ALDH1A3
84815	MGC12916
55350	VNN3P
26277	TINF2
978	CDA
112487	DTD2
10376	TUBA1B
2317	FLNB
100862671	TMEM265
11080	DNAJB4
2152	F3
3949	LDLR
135228	CD109
1263	PLK3
79679	VTCN1
7277	TUBA4A
1969	EPHA2
101243545	LINC02067
9547	CXCL14
27314	RAB30
4001	LMNB1
27250	PDCD4
9246	UBE2L6
7280	TUBB2A
218	ALDH3A1
1295	COL8A1
